date,value
2015-07-24,1.614
2015-07-27,2.1195
2015-07-28,2.1475
2015-07-29,2.2355
2015-07-30,2.178
2015-07-31,2.281
2015-08-03,2.337
2015-08-04,2.209
2015-08-05,2.035
2015-08-06,2.026
2015-08-07,2.4795
2015-08-10,3.031
2015-08-11,4.0855
2015-08-12,3.263
2015-08-13,3.7015
2015-08-14,4.198
2015-08-17,4.464
2015-08-18,4.966
2015-08-19,4.335
2015-08-20,5.7153
2015-08-21,6.318
2015-08-24,7.028
2015-08-25,7.812
2015-08-26,2.358
2015-08-27,2.1435
2015-08-28,2.087
2015-08-31,2.664
2015-09-01,1.99
2015-09-02,2.834
2015-09-04,2.02
2015-09-07,1.6705
2015-09-08,1.574
2015-09-09,1.4345
2015-09-10,1.682
2015-09-11,2.0345
2015-09-14,2.693
2015-09-15,3.3925
2015-09-16,2.0755
2015-09-17,1.6495
2015-09-18,2.35
2015-09-21,2.385
2015-09-22,2.917
2015-09-23,3.8585
2015-09-24,3.093
2015-09-25,3.3835
2015-09-29,8.729
2015-09-30,6.741
2015-10-02,3.508
2015-10-05,2.4705
2015-10-06,1.9235
2015-10-07,1.6855
2015-10-08,4.106
2015-10-09,5.946
2015-10-12,2.786
2015-10-13,2.16
2015-10-14,1.653
2015-10-15,1.4695
2015-10-16,1.3325
2015-10-19,1.439
2015-10-20,1.4495
2015-10-22,1.495
2015-10-23,1.4205
2015-10-26,1.543
2015-10-27,1.932
2015-10-28,1.904
2015-10-29,1.933
2015-10-30,3.02778
2015-11-02,3.619
2015-11-03,3.5155
2015-11-04,5.45778
2015-11-05,2.7255
2015-11-06,1.5375
2015-11-09,1.793
2015-11-10,1.737
2015-11-11,1.6
2015-11-12,1.5655
2015-11-13,1.7325
2015-11-16,4.4525
2015-11-17,4.788
2015-11-18,4.899
2015-11-19,4.6385
2015-11-20,3.7185
2015-11-23,3.598
2015-11-24,3.0805
2015-11-25,3.0565
2015-11-26,2.913
2015-11-27,4.823
2015-11-30,4.756
2015-12-01,5.0785
2015-12-02,7.104
2015-12-03,8.328
2015-12-04,4.781
2015-12-07,2.2365
2015-12-08,2.0555
2015-12-09,1.693
2015-12-10,1.953
2015-12-11,1.626
2015-12-14,2.896
2015-12-15,1.973
2015-12-16,2.92
2015-12-17,5.026
2015-12-18,6.551
2015-12-21,6.515
2015-12-22,6.417
2015-12-23,9.4525
2015-12-24,5.458
2015-12-28,5.91222
2015-12-29,6.583
2015-12-30,3.21
2015-12-31,1.7625
2016-01-04,5.01975
2016-01-05,3.0275
2016-01-06,2.522
2016-01-07,2.1015
2016-01-08,4.0055
2016-01-11,13.396
2016-01-12,66.815
2016-01-13,8.31
2016-01-14,3.6055
2016-01-15,2.102
2016-01-18,1.779
2016-01-19,1.865
2016-01-20,1.5905
2016-01-21,1.6065
2016-01-22,1.33167
2016-01-25,1.275
2016-01-26,1.1445
2016-01-27,1.0945
2016-01-28,1.008
2016-01-29,0.716
2016-02-01,1.0625
2016-02-02,1.2375
2016-02-03,1.3965
2016-02-04,1.263
2016-02-05,1.1655
2016-02-11,1.272
2016-02-12,1.161
2016-02-15,1.1475
2016-02-16,1.872
2016-02-17,3.401
2016-02-18,4.451
2016-02-19,9.265
2016-02-22,5.0225
2016-02-23,4.4775
2016-02-24,2.809
2016-02-25,1.775
2016-02-26,2.655
2016-02-29,2.0435
2016-03-01,1.5585
2016-03-02,1.76
2016-03-03,2.7205
2016-03-04,1.929
2016-03-07,1.843
2016-03-08,1.6055
2016-03-09,1.5555
2016-03-10,1.5245
2016-03-11,1.4745
2016-03-14,1.3985
2016-03-15,1.5375
2016-03-16,1.4645
2016-03-17,1.378
2016-03-18,1.0575
2016-03-21,1.254
2016-03-22,1.247
2016-03-23,1.275
2016-03-24,1.477
2016-03-29,1.369
2016-03-30,1.048
2016-03-31,-3.725
2016-04-01,1.4555
2016-04-05,1.4545
2016-04-06,1.4765
2016-04-07,2.249
2016-04-08,2.176
2016-04-11,1.606
2016-04-12,1.53
2016-04-13,2.4235
2016-04-14,2.502
2016-04-15,1.63
2016-04-18,1.604
2016-04-19,1.5575
2016-04-20,1.733
2016-04-21,1.6585
2016-04-22,1.7295
2016-04-25,1.7395
2016-04-26,1.545
2016-04-27,1.5115
2016-04-28,1.497
2016-04-29,1.278
2016-05-03,1.355
2016-05-04,1.342
2016-05-05,1.398
2016-05-06,1.432
2016-05-09,1.4615
2016-05-10,1.464
2016-05-11,1.455
2016-05-12,1.46
2016-05-13,2.1325
2016-05-16,2.233
2016-05-17,1.4665
2016-05-18,1.6675
2016-05-19,1.883
2016-05-20,1.735
2016-05-23,1.8235
2016-05-24,1.883
2016-05-25,1.8795
2016-05-26,1.924
2016-05-27,1.9905
2016-05-30,1.602
2016-05-31,0.823
